"website_name","url","country","region","category","contact_email","contact_page","reason_to_link","outreach_angle","quality_score_1_10","priority","status","contact_date","follow_up_date","response","link_acquired","anchor_text","target_page","notes"
"Somali NGO Consortium","https://somaliangoconsortium.org/","Somalia","Horn of Africa","NGO network","comms@somaliangoconsortium.org","https://www.somaliangoconsortium.org/about-us/about-us/","Audience includes NGOs and development professionals who need reliable job resources.","Share Somken Jobs as a Somalia NGO and humanitarian careers resource for members.","10","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Use communications contact; personalize around member career resources."
"Nexus Consortium Somalia","https://nexusom.org/","Somalia","Horn of Africa","NGO network","info@nexusom.org","https://nexusom.org/contact-us/","Humanitarian-development-peacebuilding partners may need job and talent resources.","Offer Somken Jobs as a local careers and employer visibility resource.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Strong fit for NGO/network resource inclusion."
"iRise Hub","https://irisehub.com/","Somalia","Horn of Africa","startup hub","","https://irisehub.com/about-us/","Startup and youth community can benefit from technology and professional opportunity listings.","Pitch a Somalia youth and startup career resource.","9","high","not contacted","","","","no","Somalia career resources","https://somkenjobs.com/career-resources","Verify best contact before outreach."
"Somali Public Agenda","https://somalipublicagenda.org/","Somalia","Horn of Africa","policy research","ibrahim.osman@somalipublicagenda.org","https://somalipublicagenda.org/news-and-press/press-contact/","Public policy readers and young professionals may value verified career resources.","Share data or resource guide on Somalia public-service and NGO careers.","9","high","not contacted","","","","no","Somalia career resources","https://somkenjobs.com/career-resources","Use media/press angle, not a generic link request."
"SomaliREN","https://somaliren.org/","Somalia","Horn of Africa","education network","","https://somaliren.org/contact/","University network can share graduate career resources across member institutions.","Offer Somken Jobs as a graduate employment and internship resource.","9","high","not contacted","","","","no","Somalia graduate career resource","https://somkenjobs.com/career-resources","Verify contact page and member resource policy."
"SIMAD University","https://simad.edu.so/","Somalia","Horn of Africa","university","","https://simad.edu.so/contact/","Students and alumni need verified internships and professional opportunities.","Ask career/student affairs team to review Somken Jobs for student resources.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Personalize with relevant Somali graduate jobs."
"University of Hargeisa","https://uoh-edu.net/","Somaliland","Horn of Africa","university","","https://uoh-edu.net/contact/","Students and alumni in Somaliland may use regional jobs and NGO resources.","Pitch a Somaliland/Somalia graduate jobs resource.","9","high","not contacted","","","","no","Somalia jobs resource","https://somkenjobs.com/jobs","Verify current official contact page."
"Amoud University","https://amouduniversity.org/","Somaliland","Horn of Africa","university","","https://amouduniversity.org/contact/","Students and alumni need professional and NGO career resources.","Ask career/student office to consider adding Somken Jobs to resources.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Verify contact before sending."
"Somali National University","https://snu.edu.so/","Somalia","Horn of Africa","university","","https://snu.edu.so/contact/","Public university audience aligns with graduate employment resources.","Offer a graduate jobs and verified employer resource.","8","high","not contacted","","","","no","Somalia graduate career resource","https://somkenjobs.com/career-resources","Use student support angle."
"Mogadishu University","https://mu.edu.so/","Somalia","Horn of Africa","university","","https://mu.edu.so/contact/","University students and alumni are relevant job seekers.","Request inclusion on career resources if useful to students.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Verify official career office contact."
"Jamhuriya University of Science and Technology","https://just.edu.so/","Somalia","Horn of Africa","university","","https://just.edu.so/contact/","Technology and business graduates align with professional jobs.","Offer Somken Jobs as a trusted graduate and employer resource.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Mention tech and development opportunities."
"Benadir University","https://benadiruniversity.edu.so/","Somalia","Horn of Africa","university","","https://benadiruniversity.edu.so/contact/","Students in health and development fields may need NGO job resources.","Pitch health, development, and NGO job listings.","8","high","not contacted","","","","no","Somalia NGO jobs","https://somkenjobs.com/jobs","Verify contact details."
"Somaliland Chamber of Commerce","https://somalilandchamber.com/","Somaliland","Horn of Africa","chamber of commerce","","https://somalilandchamber.com/contact","Business members may benefit from employer visibility and hiring resources.","Offer employer directory/career resource for members.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Strong chamber fit."
"Somali Chamber of Commerce and Industry","https://somalichamber.so/","Somalia","Horn of Africa","chamber of commerce","info@somalichamber.so","https://somalichamber.so/","Members may need hiring visibility and legitimate candidate channels.","Pitch as a business community employment and employer resource.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Confirm site/contact before outreach."
"Chamber of Commerce South West State Somalia","https://ccsws.so/","Somalia","Horn of Africa","chamber of commerce","info@ccsws.so","https://ccsws.so/","Regional businesses may use job and professional directory resources.","Offer regional employer visibility and job seeker resource.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Good regional business fit."
"NAFIS Network","https://nafisnetwork.org/","Somalia","Horn of Africa","NGO","","https://nafisnetwork.org/contact/","Somken already lists NAFIS roles; employer may link to current postings or profile.","Ask them to review their listing and link from careers/resources if useful.","9","high","not contacted","","","","no","NAFIS jobs on Somken Jobs","https://somkenjobs.com/jobs","Employer-listed outreach."
"Shaqodoon Organization","https://shaqodoon.org/","Somalia","Horn of Africa","youth employment NGO","","https://shaqodoon.org/contact/","Youth employment mission aligns with job discovery and career resources.","Suggest collaboration around youth job resources.","9","high","not contacted","","","","no","Somalia youth jobs resource","https://somkenjobs.com/career-resources","High mission fit."
"Heritage Institute for Policy Studies","https://heritageinstitute.org/","Somalia","Horn of Africa","policy research","","https://heritageinstitute.org/contact/","Policy and public-service readers may value Somalia career resources.","Share data-driven public-service careers guide.","8","high","not contacted","","","","no","Somalia public-service career resources","https://somkenjobs.com/career-resources","Best after publishing public-service guide."
"SOS Children's Villages Somalia","https://www.sos-childrensvillages.org/where-we-help/africa/somalia","Somalia","Horn of Africa","NGO","","https://www.sos-childrensvillages.org/contact","Current/historical employer listings can help applicants find verified roles.","Ask careers/comms team to review active listing links.","8","high","not contacted","","","","no","SOS jobs on Somken Jobs","https://somkenjobs.com/jobs","Employer-listed outreach."
"Save the Children Somalia","https://somalia.savethechildren.net/","Somalia","Horn of Africa","NGO","","https://somalia.savethechildren.net/contact-us","Large NGO employer; candidates benefit from verified job source cross-reference.","Share employer listing and ask if useful for careers/resource page.","8","high","not contacted","","","","no","Save the Children jobs","https://somkenjobs.com/jobs","Avoid implying endorsement."
"Danish Refugee Council Somalia","https://drc.ngo/our-work/where-we-work/east-africa-great-lakes/somalia/","Somalia","Horn of Africa","NGO","","https://drc.ngo/contact-us/","Humanitarian job seekers follow DRC roles and resources.","Ask to review Somken listings for accuracy and potential resource inclusion.","8","high","not contacted","","","","no","DRC Somalia jobs","https://somkenjobs.com/jobs","Employer/resource angle."
"Norwegian Refugee Council Somalia","https://www.nrc.no/countries/africa/somalia/","Somalia","Horn of Africa","NGO","","https://www.nrc.no/contact/","NRC audience and job seekers overlap strongly with Somken Jobs.","Share current job resource and invite corrections.","8","high","not contacted","","","","no","NRC Somalia jobs","https://somkenjobs.com/jobs","Employer-listed outreach."
"Concern Worldwide Somalia","https://www.concern.net/where-we-work/somalia","Somalia","Horn of Africa","NGO","","https://www.concern.net/contact","Development and humanitarian professionals use job resources.","Offer Somken Jobs as additional visibility for Somalia roles.","7","high","not contacted","","","","no","Somalia humanitarian jobs","https://somkenjobs.com/jobs","Use careful non-commercial wording."
"World Vision Somalia","https://www.wvi.org/somalia","Somalia","Horn of Africa","NGO","","https://www.wvi.org/contact-us","Large employer in development/humanitarian sector.","Ask if Somken can be listed as a regional job resource.","7","high","not contacted","","","","no","Somalia NGO jobs","https://somkenjobs.com/jobs","Avoid exact-match anchor requests."
"CARE Somalia","https://www.care.org/our-work/where-we-work/somalia/","Somalia","Horn of Africa","NGO","","https://www.care.org/contact-us/","Development professionals and local candidates overlap with Somken audience.","Share resource and ask for corrections or inclusion where useful.","7","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","May be better through local office."
"Mercy Corps Somalia","https://www.mercycorps.org/where-we-work/somalia","Somalia","Horn of Africa","NGO","","https://www.mercycorps.org/contact-us","Humanitarian employer with relevant applicants.","Ask if verified job listings can help applicants discover roles.","7","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Employer-listed angle."
"Oxfam Somalia","https://www.oxfam.org/en/what-we-do/countries/somalia","Somalia","Horn of Africa","NGO","","https://www.oxfam.org/en/contact-us","International NGO roles are relevant to Somken users.","Share as candidate-facing regional career resource.","7","high","not contacted","","","","no","Somalia NGO jobs","https://somkenjobs.com/jobs","Use resource angle only."
"ActionAid Somaliland","https://somaliland.actionaid.org/","Somaliland","Horn of Africa","NGO","","https://somaliland.actionaid.org/contact-us","Local NGO audiences align with gender, youth, and development careers.","Suggest inclusion in resources for job seekers and partners.","7","high","not contacted","","","","no","Somalia development jobs","https://somkenjobs.com/jobs","Verify page availability before outreach."
"Adeso","https://adesoafrica.org/","Somalia","Horn of Africa","NGO","","https://adesoafrica.org/contact-us/","Somali-founded NGO with development audience.","Share Somalia NGO career/resource page.","8","high","not contacted","","","","no","Somalia NGO career resources","https://somkenjobs.com/career-resources","Good story angle."
"Himilo Relief and Development Association","https://hirda.org/","Somalia","Horn of Africa","NGO","","https://hirda.org/contact/","Diaspora and Somalia development network may share job/career resources.","Offer verified opportunities resource for Somali professionals.","7","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Verify best contact."
"Kenya National Chamber of Commerce and Industry","https://www.kenyachamber.or.ke/","Kenya","East Africa","chamber of commerce","","https://www.kenyachamber.or.ke/","Member companies may benefit from hiring and talent visibility.","Offer Somken Jobs as East Africa employer and career resource.","9","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Use business community angle."
"Kenya Private Sector Alliance","https://kepsa.or.ke/","Kenya","East Africa","business association","","https://kepsa.or.ke/contact-us/","Private sector members need workforce and job visibility resources.","Pitch employer/talent resource for members and youth employment initiatives.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Strong partnership target."
"Kenya Association of Manufacturers","https://kam.co.ke/","Kenya","East Africa","business association","","https://kam.co.ke/contact-us/","Manufacturing employers and job seekers may use sector career resources.","Pitch sector job/resource hub for employers and graduates.","8","high","not contacted","","","","no","Kenya employer resources","https://somkenjobs.com/career-resources","Best after sector pages exist."
"East African Business Council","https://eabc-online.com/","Tanzania","East Africa","business association","","https://eabc-online.com/contact-us/","Regional business network matches East Africa employer/job resource angle.","Ask about inclusion in member resources or regional opportunity pages.","8","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Regional target."
"University of Nairobi Office of Career Services","https://careerservices.uonbi.ac.ke/","Kenya","East Africa","university career office","careers@uonbi.ac.ke","https://aa-education.uonbi.ac.ke/basic-page/career-services","Career office links students with jobs, internships, and employers.","Offer Somken Jobs as an East Africa NGO/development jobs resource.","10","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Use student career resource template."
"Kenyatta University Career Services","https://career.ku.ac.ke/","Kenya","East Africa","university career office","careers@ku.ac.ke.com","https://career.ku.ac.ke/","Career center supports students seeking jobs and internships.","Request resource page inclusion for NGO and development jobs.","9","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Email from page appears unusual; verify before sending."
"Strathmore University Career Development Services","https://strathmore.edu/","Kenya","East Africa","university career office","","https://strathmore.edu/contact-us/","Students and alumni are relevant for professional opportunities.","Pitch curated East Africa professional and NGO job resource.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Find specific career services contact first."
"USIU-Africa Career Services","https://www.usiu.ac.ke/","Kenya","East Africa","university career office","","https://www.usiu.ac.ke/contact-us/","International university students align with regional job resources.","Offer NGO, development, and professional job resource.","8","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Verify career services contact."
"Dedan Kimathi University Career Services","https://careerservices.dkut.ac.ke/","Kenya","East Africa","university career office","careerservices@dkut.ac.ke","https://careerservices.dkut.ac.ke/contact-us/","Career services page supports employer engagement and student jobs.","Ask to list Somken Jobs among external career resources.","9","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Strong contact data."
"Chuka University Career Services","https://careerservices.chuka.ac.ke/","Kenya","East Africa","university career office","","https://careerservices.chuka.ac.ke/","Career services already shares jobs and skills resources.","Suggest adding Somken Jobs for East Africa NGO/professional roles.","8","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Good resource-page target."
"Zetech University Careers","https://careers.zetech.ac.ke/","Kenya","East Africa","university career office","careers@zetech.ac.ke","https://careers.zetech.ac.ke/index.php?mod=contacts","University career audience is relevant for verified job opportunities.","Ask to include Somken Jobs as a student career resource.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Use student career template."
"Kisii University Career Services","https://kisiiuniversity.ac.ke/dptabout/about-the-department-career-services","Kenya","East Africa","university career office","","https://kisiiuniversity.ac.ke/dptabout/about-the-department-career-services","Department helps students access internships, jobs, and volunteer opportunities.","Share Somken Jobs for regional job discovery.","8","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Find direct office email before sending."
"Engineers Board of Kenya","https://ebk.go.ke/","Kenya","East Africa","professional regulator","","https://ebk.go.ke/contact-us/","Engineering professionals may benefit from verified construction/engineering career resources.","Pitch future engineering careers/resource guide rather than homepage.","8","high","not contacted","","","","no","Engineering jobs resource","https://somkenjobs.com/jobs","Best after engineering resource page exists."
"Kenya Society of Engineers","https://kse.co.ke/","Kenya","East Africa","professional association","","https://kse.co.ke/contact-us/","Professional engineers may need job and career resources.","Offer engineering and construction career resource for members.","8","high","not contacted","","","","no","Engineering career resources","https://somkenjobs.com/career-resources","Good association fit."
"Institution of Engineers of Kenya","https://iekenya.org/","Kenya","East Africa","professional association","","https://iekenya.org/contact/","Engineering professionals are a target sector for Somken resources.","Pitch engineering jobs/resource hub for members.","8","high","not contacted","","","","no","Engineering jobs resource","https://somkenjobs.com/jobs","Verify contact page."
"Architectural Association of Kenya","https://aak.or.ke/","Kenya","East Africa","professional association","","https://aak.or.ke/contact-us/","Architecture and built-environment professionals align with construction content.","Pitch construction/engineering company directory or jobs guide.","8","high","not contacted","","","","no","Construction career resources","https://somkenjobs.com/career-resources","Best after construction resource page exists."
"Construction Review Online","https://constructionreviewonline.com/","Kenya","Africa","media","editorial@constructionreviewonline.com","https://constructionreviewonline.com/contact-us/","Construction audience fits engineering and employer directory content.","Offer data/resource story on construction jobs in East Africa.","8","high","not contacted","","","","no","East Africa construction jobs resource","https://somkenjobs.com/career-resources","Media/blog template; only pitch with useful content."
"Construction Kenya","https://www.constructionkenya.com/","Kenya","East Africa","media","","https://www.constructionkenya.com/contact-us/","Audience follows Kenya construction sector and employers.","Pitch useful construction companies/jobs guide.","8","high","not contacted","","","","no","Kenya construction jobs resource","https://somkenjobs.com/career-resources","Best after publishing guide."
"iHub Nairobi","https://ihub.co.ke/","Kenya","East Africa","startup hub","","https://ihub.co.ke/contact","Tech/startup community aligns with professional job resources.","Offer Somken Jobs as a regional professional opportunity resource.","8","high","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Startup ecosystem angle."
"Nailab","https://nailab.co.ke/","Kenya","East Africa","startup hub","","https://nailab.co.ke/contact/","Entrepreneur and youth audience may value verified opportunities.","Pitch youth and startup career resource.","8","high","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/career-resources","Verify current activity before outreach."
"Kibabii University Office of Career Services","https://ocs.kibu.ac.ke/","Kenya","East Africa","university career office","","https://ocs.kibu.ac.ke/ocs-team/","Career office audience matches job and internship resources.","Ask to include Somken Jobs in external job resources.","7","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Validate contact before outreach."
"Moi University","https://www.mu.ac.ke/","Kenya","East Africa","university","","https://www.mu.ac.ke/index.php/contact-us","Students and graduates may use regional job resources.","Ask career office/student affairs about useful jobs resource listing.","7","medium","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Find specific career services contact."
"JKUAT","https://www.jkuat.ac.ke/","Kenya","East Africa","university","","https://www.jkuat.ac.ke/contact-us/","Engineering and technology students align with professional jobs.","Pitch engineering/technology career resource.","7","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Best after engineering page exists."
"Technical University of Kenya","https://tukenya.ac.ke/","Kenya","East Africa","university","","https://tukenya.ac.ke/contact-us/","Technical students align with construction and professional career resources.","Ask career office to review Somken as external resource.","7","medium","not contacted","","","","no","Technical jobs resource","https://somkenjobs.com/jobs","Verify career contact."
"Mount Kenya University","https://www.mku.ac.ke/","Kenya","East Africa","university","","https://www.mku.ac.ke/contact-us/","Large student body relevant to job and internship resources.","Pitch graduate job resources for East Africa.","7","medium","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Find careers/student affairs contact."
"KCA University","https://www.kca.ac.ke/","Kenya","East Africa","university","","https://www.kca.ac.ke/contact-us/","Business and technology students align with professional opportunities.","Share regional jobs resource.","7","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Verify contact."
"Africa Nazarene University","https://www.anu.ac.ke/","Kenya","East Africa","university","","https://www.anu.ac.ke/contact-us/","Students may value NGO, public-service, and professional jobs.","Ask for inclusion in career resources.","7","medium","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","University template."
"Daystar University","https://www.daystar.ac.ke/","Kenya","East Africa","university","","https://www.daystar.ac.ke/contact-us","Students and alumni align with career resources.","Pitch NGO and development job resource.","7","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Verify best office contact."
"Riara University","https://riarauniversity.ac.ke/","Kenya","East Africa","university","","https://riarauniversity.ac.ke/contact-us/","Professional students may need verified jobs and internships.","Ask to add resource for East Africa careers.","6","medium","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/jobs","Use career office contact if available."
"Moringa School","https://moringaschool.com/","Kenya","East Africa","training provider","","https://moringaschool.com/contact-us/","Tech graduates need job resources and employer visibility.","Pitch tech and regional opportunity resource.","7","medium","not contacted","","","","no","Tech jobs resource","https://somkenjobs.com/jobs","Best if tech jobs page exists."
